name,description,body_part,sets,reps,unit,image_base64
Press banca plano,Press banca o plano. Controla la bajada,chest,4,9,reps,
Press hombros mancuernas,Press hombros con mancuernas. Sin arquear espalda,shoulders,3,11,reps,
Fondos pecho o máquina,Fondos de pecho o máquina. Añade peso si puedes,chest,3,11,reps,
Extensiones tríceps polea,Extensiones de tríceps en polea. Mantén codos fijos,arms,3,12,reps,
Plancha,Plancha para core. Mantén posición 30-45 segundos,core,3,37,seconds,
Curl muñeca,Curl de muñeca para antebrazos. Opcional,forearms,3,15,reps,
Dominadas o jalón pecho,Dominadas o jalón al pecho. Aprieta escápulas,back,4,9,reps,
Remo mancuerna barra,Remo con mancuerna o barra. Tira con espalda,back,3,11,reps,
Face pull hombros post,Face pull para hombros posteriores. Para postura,shoulders,3,12,reps,
Curl bíceps barra,Curl de bíceps con barra. Sin balanceo,arms,3,11,reps,
Elevación piernas,Elevación de piernas para core,core,3,12,reps,
Giro muñeca inverso,Giro de muñeca inverso para antebrazos,forearms,3,15,reps,
Sentadilla prensa,Sentadilla o prensa de piernas. Profundidad 90°,legs,4,9,reps,
Peso muerto rumano,Peso muerto rumano. Protege lumbares,legs,3,11,reps,
Zancadas caminando,Zancadas caminando. Controladas,legs,3,10,reps,
Elevación gemelos,Elevación de gemelos. Estira completo,legs,3,13,reps,
Russian twists,Russian twists para core. Con peso ligero,core,3,20,reps,
